ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimientoID,JuegoID
1028,Rotura,04/07/2024,Cerrada,"['847-48-4959', '464-38-7861', '085-21-9210']","['MNT-01099', 'MNT-05622', 'MNT-13095']",3566354
1029,Mal funcionamiento,25/07/2024,Abierta,['070-17-6111'],"['MNT-05010', 'MNT-10110']",4994746
1030,Rotura,17/01/2024,Abierta,"['009-86-1309', '582-27-7593']","['MNT-04999', 'MNT-14030']",52933
1031,Desgaste,23/11/2023,Abierta,"['832-34-9010', '766-89-8936']","['MNT-01365', 'MNT-12024']",7861585
1032,Vandalismo,20/06/2024,Abierta,"['210-64-4320', '883-38-5483', '908-39-9709']",['MNT-00233'],3569328
1033,Rotura,25/03/2024,Cerrada,"['149-65-0339', '179-45-8995']",['MNT-13930'],32906
1034,Mal funcionamiento,15/05/2024,Abierta,['010-71-2423'],['MNT-12971'],33629
1035,Mal funcionamiento,13/10/2024,Cerrada,['967-51-6558'],['MNT-04541'],32596
1036,Vandalismo,01/01/2024,Abierta,"['061-98-1555', '812-33-5377', '370-62-0388']",['MNT-04878'],9178862
1037,Desgaste,05/01/2024,Abierta,"['709-60-0018', '689-09-1955', '928-93-0502']","['MNT-05296', 'MNT-06655']",7889434
1038,Rotura,07/04/2024,Abierta,"['264-07-0872', '053-48-0670']","['MNT-02522', 'MNT-05396']",7893884
1039,Vandalismo,20/08/2024,Abierta,"['374-71-8255', '564-25-2701', '571-19-8866']",['MNT-07523'],18850
1040,Vandalismo,08/06/2024,Cerrada,"['106-97-1945', '896-75-3280']",['MNT-14879'],8800145
1041,Desgaste,20/07/2024,Cerrada,"['940-04-3686', '999-58-0708', '484-41-3087']","['MNT-06433', 'MNT-06965']",52261
1042,Rotura,31/01/2024,Cerrada,"['721-12-5735', '569-19-0627', '873-37-8375']",['MNT-12990'],8805542
1043,Desgaste,18/08/2024,Abierta,"['685-01-0253', '146-25-9572', '540-62-3145']",['MNT-09623'],25787
1044,Vandalismo,26/03/2024,Abierta,"['453-56-3666', '363-92-8806', '393-09-3375']",['MNT-13143'],3574053
1045,Desgaste,11/11/2023,Abierta,['465-50-8489'],"['MNT-07713', 'MNT-08250', 'MNT-13848']",33816
1046,Rotura,24/08/2024,Abierta,['883-00-7201'],['MNT-08923'],5220811
1047,Desgaste,25/04/2024,Cerrada,"['876-26-3359', '490-17-9693']",['MNT-09652'],9179454
1048,Mal funcionamiento,30/10/2023,Abierta,['868-86-8315'],"['MNT-07817', 'MNT-10144', 'MNT-11646']",59506
1049,Desgaste,10/06/2024,Abierta,"['990-34-7933', '793-24-1585', '082-82-5131']","['MNT-01466', 'MNT-07755']",21281
1050,Vandalismo,05/07/2024,Abierta,"['236-86-9380', '020-62-6074']","['MNT-05437', 'MNT-07850']",7741935
1051,Mal funcionamiento,08/10/2024,Cerrada,['472-22-9944'],['MNT-09561'],34227
1052,Rotura,16/11/2023,Abierta,"['947-77-5969', '948-74-7541', '729-40-1407']",['MNT-11372'],6761388
1053,Rotura,12/09/2024,Cerrada,['823-55-4223'],['MNT-02415'],6778198
1054,Vandalismo,06/11/2023,Cerrada,"['383-64-4316', '624-55-9314']",['MNT-11651'],8804650
1055,Mal funcionamiento,12/06/2024,Cerrada,"['197-71-4142', '133-80-1699', '020-40-1990']",['MNT-04283'],3581621
1056,Rotura,03/04/2024,Abierta,['768-10-6245'],"['MNT-12302', 'MNT-14772']",7526872
1057,Desgaste,03/01/2024,Cerrada,['570-56-4797'],['MNT-08625'],25090
1058,Rotura,15/07/2024,Abierta,"['737-48-7109', '167-27-1166']",['MNT-09698'],5173585
1059,Mal funcionamiento,28/01/2024,Cerrada,['551-25-2814'],['MNT-00358'],19369
1060,Desgaste,29/09/2024,Abierta,['990-86-9523'],['MNT-12744'],21216
1061,Rotura,20/07/2024,Abierta,"['463-61-8084', '168-39-4214', '920-43-9811']",['MNT-14561'],5158937
1062,Mal funcionamiento,09/05/2024,Cerrada,"['527-39-8523', '646-39-1530', '073-44-6168']",['MNT-00859'],5239101
1063,Desgaste,09/08/2024,Cerrada,"['539-33-4147', '316-72-3300']",['MNT-03040'],33432
1064,Rotura,27/05/2024,Cerrada,"['540-44-1220', '998-57-9450']",['MNT-10395'],35092
1065,Mal funcionamiento,25/04/2024,Abierta,"['053-41-5747', '893-52-9276']",['MNT-05336'],6907798
1066,Rotura,16/10/2023,Cerrada,['428-16-6039'],['MNT-13940'],34844
1067,Vandalismo,03/04/2024,Cerrada,"['223-48-9940', '611-83-5297', '766-02-5209']","['MNT-03149', 'MNT-03253', 'MNT-10122']",34228
1068,Mal funcionamiento,18/11/2023,Cerrada,['199-96-0593'],['MNT-12124'],22489
1069,Mal funcionamiento,12/02/2024,Abierta,"['933-20-1130', '495-38-1007']",['MNT-14892'],32747
1070,Rotura,29/01/2024,Cerrada,['513-25-2401'],"['MNT-01780', 'MNT-10460']",9536975
1071,Rotura,21/10/2023,Abierta,['978-99-6384'],"['MNT-01703', 'MNT-07339']",33242
1072,Vandalismo,22/08/2024,Cerrada,"['387-94-9851', '273-49-9857']","['MNT-03041', 'MNT-04244']",52891
1073,Mal funcionamiento,26/11/2023,Abierta,['032-32-5015'],['MNT-05497'],24961
1074,Mal funcionamiento,04/01/2024,Cerrada,"['711-74-3953', '152-72-0430', '167-15-2300']",['MNT-01936'],5658638
1075,Mal funcionamiento,25/10/2023,Cerrada,['499-05-5451'],"['MNT-00311', 'MNT-03334']",34111
1076,Rotura,17/06/2024,Cerrada,"['034-47-2028', '398-61-0228', '959-50-7430']",['MNT-13557'],8905830
1077,Mal funcionamiento,19/06/2024,Abierta,['451-40-7225'],['MNT-02267'],22058
1078,Desgaste,13/04/2024,Cerrada,['498-76-8176'],['MNT-03423'],4984748
1079,Vandalismo,21/02/2024,Abierta,"['174-53-2565', '898-55-5760', '159-40-9669']",['MNT-14525'],21260
1080,Vandalismo,29/06/2024,Cerrada,"['253-13-8470', '411-19-7698']",['MNT-10098'],5240847
1081,Mal funcionamiento,14/03/2024,Cerrada,"['628-78-9748', '619-62-0219', '395-25-3102']",['MNT-10287'],7244121
1082,Desgaste,13/04/2024,Cerrada,"['567-65-8779', '331-24-8824']","['MNT-00514', 'MNT-14886']",32965
1083,Rotura,01/06/2024,Abierta,"['262-10-9828', '330-76-9488', '928-51-4482']","['MNT-00622', 'MNT-06206']",6777915
1084,Rotura,17/08/2024,Abierta,['923-46-0382'],['MNT-06275'],6761302
1085,Desgaste,19/11/2023,Abierta,"['403-96-5290', '107-82-4582', '771-62-2785']","['MNT-07218', 'MNT-08554', 'MNT-08629']",9049442
1086,Rotura,15/12/2023,Abierta,"['019-68-8820', '628-97-3116']","['MNT-11644', 'MNT-12062']",59667
1087,Rotura,12/06/2023,Cerrada,"['860-72-3281', '981-10-1586']",['MNT-06846'],58925
1088,Mal funcionamiento,21/12/2023,Abierta,"['659-66-7094', '447-09-9879']",['MNT-14022'],7887307
1089,Mal funcionamiento,12/06/2024,Abierta,['610-54-6471'],['MNT-04969'],20894
1090,Rotura,06/06/2024,Abierta,"['390-75-5393', '730-11-6837']",['MNT-13410'],7847547
1091,Vandalismo,08/04/2024,Cerrada,"['178-68-4628', '812-57-5305', '698-59-1216']",['MNT-08296'],5658159
1092,Vandalismo,03/10/2024,Cerrada,"['199-96-0593', '840-85-3065', '940-06-7320']",['MNT-07003'],7248212
1093,Rotura,09/01/2024,Abierta,"['080-93-0259', '625-28-2804', '045-65-0901']",['MNT-00433'],20113
1094,Vandalismo,12/01/2024,Cerrada,['256-64-1258'],"['MNT-01780', 'MNT-10460']",9536975
1095,Vandalismo,18/03/2024,Cerrada,['975-23-7703'],['MNT-11526'],9159119
1096,Rotura,12/02/2024,Abierta,"['942-34-3656', '622-90-8309', '585-07-8812']",['MNT-08530'],7862461
1097,Vandalismo,16/01/2024,Abierta,"['164-98-4369', '471-22-3474', '658-18-3902']",['MNT-11183'],24717
1098,Rotura,04/09/2024,Cerrada,"['662-34-0712', '946-74-3187']","['MNT-01867', 'MNT-14214']",9183108
1099,Mal funcionamiento,22/04/2024,Cerrada,"['621-02-1637', '603-32-6713', '531-92-9792']",['MNT-02937'],3569335
1100,Mal funcionamiento,16/03/2024,Abierta,"['845-24-7134', '228-83-3117', '397-20-2580']","['MNT-12603', 'MNT-14835']",32514
1101,Rotura,21/06/2024,Cerrada,['279-58-4701'],['MNT-06647'],9131310
1102,Desgaste,18/12/2023,Cerrada,"['039-68-9067', '292-34-2410', '189-00-8735']",['MNT-04098'],22558
1103,Desgaste,18/11/2023,Cerrada,"['840-99-4096', '546-46-3686', '843-76-5622']",['MNT-06360'],9224009
1104,Vandalismo,30/06/2024,Abierta,"['177-30-6027', '732-87-5918', '680-77-3971']",['MNT-14212'],60032
1105,Vandalismo,27/05/2024,Cerrada,"['215-07-8885', '855-12-9673', '419-09-9378']",['MNT-07449'],52910
1106,Desgaste,17/06/2024,Abierta,['873-27-3314'],['MNT-10704'],9247589
1107,Rotura,01/03/2024,Cerrada,"['269-83-5520', '235-91-4615', '517-49-3292']",['MNT-02153'],5220926
1108,Rotura,01/04/2024,Cerrada,['527-28-8772'],"['MNT-06880', 'MNT-13592']",9256442
1109,Mal funcionamiento,12/04/2024,Abierta,"['325-54-0037', '705-93-3880']",['MNT-14339'],4737865
1110,Mal funcionamiento,09/02/2024,Abierta,['612-87-1303'],"['MNT-11887', 'MNT-12689']",4960344
1111,Desgaste,13/02/2024,Abierta,"['720-15-9155', '797-63-0587']",['MNT-05315'],33090
1112,Desgaste,05/09/2024,Abierta,"['907-84-2126', '658-21-0331', '887-20-6732']","['MNT-02146', 'MNT-10217']",9223719
1113,Rotura,27/11/2023,Abierta,"['561-38-0567', '477-79-0821']",['MNT-08398'],58495
1114,Mal funcionamiento,29/06/2024,Abierta,"['494-30-4726', '390-09-3683', '471-78-0270']",['MNT-06779'],3567966
1115,Mal funcionamiento,10/07/2024,Cerrada,"['059-92-3603', '700-69-2316']",['MNT-06015'],33728
1116,Rotura,18/11/2023,Abierta,"['215-12-5326', '449-46-6763']",['MNT-05905'],52799
1117,Desgaste,18/03/2024,Cerrada,['874-79-6710'],"['MNT-08406', 'MNT-09228', 'MNT-10737']",4732018
1118,Mal funcionamiento,27/03/2024,Abierta,"['784-07-4864', '615-75-5877']","['MNT-05129', 'MNT-11083']",59501
1119,Mal funcionamiento,27/06/2024,Abierta,"['809-14-3723', '413-38-1234']",['MNT-08510'],22383
1120,Desgaste,28/11/2023,Abierta,['014-05-0315'],['MNT-04777'],18731
1121,Rotura,13/07/2024,Abierta,['526-22-1071'],['MNT-03842'],22315
1122,Mal funcionamiento,08/04/2024,Abierta,['010-70-9767'],['MNT-06184'],32877
1123,Vandalismo,10/08/2024,Cerrada,"['121-88-8557', '135-59-9270']","['MNT-03489', 'MNT-05931']",9220321
1124,Mal funcionamiento,04/11/2023,Cerrada,"['171-16-3375', '120-40-5541', '610-62-0850']",['MNT-04421'],58447
1125,Rotura,16/09/2024,Abierta,['584-72-9130'],"['MNT-03803', 'MNT-06320']",9435348
1126,Vandalismo,20/12/2023,Abierta,"['213-75-6898', '562-77-2383', '470-50-2258']","['MNT-08668', 'MNT-09919']",9285293
1127,Rotura,05/01/2024,Cerrada,"['001-15-2942', '579-97-3631']",['MNT-06994'],59543
1128,Rotura,15/05/2024,Abierta,"['863-90-5901', '947-30-9668']",['MNT-00711'],59704
1129,Vandalismo,24/11/2023,Cerrada,"['036-42-1816', '257-52-0991', '019-32-5481']",['MNT-04758'],4989395
1130,Rotura,22/01/2024,Cerrada,"['104-61-6034', '852-10-4702']",['MNT-12258'],9248075
1131,Rotura,22/09/2024,Cerrada,"['279-72-0160', '526-49-3445', '373-16-3388']",['MNT-12446'],3997218
1132,Desgaste,26/05/2024,Abierta,"['035-74-4434', '956-47-2791', '548-58-8024']",['MNT-09935'],5003344
1133,Rotura,26/10/2023,Abierta,['761-13-3157'],['MNT-04460'],58216
1134,Vandalismo,11/01/2023,Abierta,"['254-90-3413', '981-26-6217', '641-25-2762']",['MNT-11534'],3576584
1135,Vandalismo,18/03/2024,Cerrada,"['488-89-2386', '373-82-6387', '347-51-9665']",['MNT-08280'],58388
1136,Desgaste,13/02/2024,Abierta,"['585-59-0773', '127-95-8443', '661-99-6764']","['MNT-01533', 'MNT-02505']",9233763
1137,Mal funcionamiento,02/11/2023,Cerrada,"['726-02-6485', '680-73-1573', '525-09-5521']",['MNT-06574'],9291636
1138,Vandalismo,26/03/2024,Abierta,['294-78-3901'],['MNT-05881'],20686
1139,Vandalismo,09/10/2024,Abierta,"['478-09-0211', '125-29-4743']",['MNT-06820'],5239123
1140,Vandalismo,24/08/2024,Abierta,"['602-70-0869', '358-06-6698', '217-98-1971']",['MNT-03600'],7833629
1141,Mal funcionamiento,05/09/2024,Abierta,"['715-49-7072', '869-16-8239']",['MNT-04298'],6777900
1142,Mal funcionamiento,21/05/2024,Cerrada,['980-53-2526'],['MNT-13618'],5211207
1143,Mal funcionamiento,13/05/2024,Abierta,"['171-95-1630', '404-67-4765', '743-57-7351']",['MNT-08518'],21102
1144,Desgaste,10/11/2023,Abierta,"['379-94-7769', '097-64-2088']",['MNT-05248'],3566847
1145,Rotura,16/05/2024,Abierta,"['411-12-5525', '039-34-4269', '742-50-7006']",['MNT-01008'],34794
1146,Vandalismo,11/12/2023,Cerrada,"['502-21-0491', '737-64-4266', '484-91-2920']",['MNT-06846'],58925
1147,Mal funcionamiento,04/03/2024,Abierta,"['567-92-9789', '694-21-5860']",['MNT-01379'],3561748
1148,Mal funcionamiento,30/07/2024,Abierta,"['680-63-4134', '838-49-7672', '433-21-5310']",['MNT-00725'],3580691
1149,Mal funcionamiento,25/11/2023,Abierta,['112-93-7666'],['MNT-09879'],6761234
1150,Vandalismo,03/07/2024,Cerrada,"['795-02-8967', '584-50-3711', '830-94-1343']",['MNT-05743'],19737
1151,Vandalismo,17/11/2023,Abierta,['683-71-8727'],['MNT-11532'],20414
1152,Mal funcionamiento,12/08/2024,Cerrada,"['651-00-8597', '322-91-1477']",['MNT-07160'],9223762
1153,Vandalismo,04/02/2024,Cerrada,['827-00-1979'],['MNT-11232'],33783
1154,Vandalismo,11/05/2024,Abierta,['342-82-9356'],"['MNT-05088', 'MNT-06009']",32545
1155,Rotura,15/05/2024,Abierta,"['278-74-0319', '750-43-8605', '663-65-4193']",['MNT-05927'],60152
1156,Mal funcionamiento,21/02/2024,Abierta,"['602-02-2766', '911-98-2980']",['MNT-10412'],19112
1157,Mal funcionamiento,03/11/2023,Cerrada,['056-53-3356'],['MNT-01758'],58475
1158,Rotura,31/07/2024,Cerrada,['880-23-1971'],['MNT-12575'],4795160
1159,Vandalismo,15/10/2023,Cerrada,"['659-81-7114', '015-77-4999']",['MNT-11885'],8954907
1160,Rotura,17/04/2024,Cerrada,"['570-12-7647', '277-22-2474', '804-36-5589']",['MNT-14870'],3530896
1161,Mal funcionamiento,07/09/2024,Cerrada,['112-64-2786'],['MNT-11901'],21684
1162,Rotura,26/08/2024,Abierta,"['335-05-7393', '883-84-8776']","['MNT-05360', 'MNT-08523']",25087
1163,Rotura,04/10/2024,Abierta,"['334-43-7268', '253-77-2667', '303-28-0548']",['MNT-06031'],20503
1164,Rotura,01/02/2024,Cerrada,"['737-84-9799', '521-06-9995']",['MNT-04812'],21507
1165,Mal funcionamiento,30/05/2024,Abierta,"['777-21-5401', '779-99-5071']",['MNT-07287'],5246139
1166,Mal funcionamiento,12/07/2024,Abierta,"['827-72-4027', '150-56-4132']","['MNT-06323', 'MNT-14304']",32609
1167,Rotura,06/10/2024,Cerrada,"['927-13-6720', '808-92-0953', '569-10-7552']",['MNT-04471'],9139419
1168,Mal funcionamiento,06/04/2024,Cerrada,"['298-12-3344', '764-44-2180', '823-16-1675']",['MNT-07836'],7794406
1169,Desgaste,21/12/2023,Cerrada,"['597-56-7596', '816-63-6772']",['MNT-04773'],58883
1170,Desgaste,11/08/2023,Cerrada,"['103-29-6215', '058-66-5315']",['MNT-13391'],6878747
1171,Mal funcionamiento,22/12/2023,Cerrada,"['219-25-5741', '286-98-0021']",['MNT-14337'],57949
1172,Mal funcionamiento,03/08/2024,Abierta,['571-66-6912'],['MNT-09235'],24889
1173,Vandalismo,12/08/2024,Abierta,"['814-68-6795', '052-80-9480', '798-72-0588']",['MNT-13837'],8888427
1174,Rotura,31/12/2023,Abierta,"['429-81-8261', '749-68-9147']",['MNT-05995'],5659268
1175,Desgaste,07/05/2024,Abierta,"['833-23-8515', '805-23-6501']",['MNT-08020'],7887391
1176,Mal funcionamiento,17/08/2024,Cerrada,['887-52-7412'],"['MNT-03585', 'MNT-13604']",59683
1177,Desgaste,02/02/2024,Abierta,['225-97-9420'],"['MNT-06291', 'MNT-07084']",21490
1178,Rotura,29/02/2024,Abierta,['244-49-3426'],['MNT-07066'],9427252
1179,Mal funcionamiento,19/10/2023,Abierta,"['282-69-2115', '289-87-9489', '838-86-2859']",['MNT-02058'],22100
1180,Mal funcionamiento,10/12/2023,Abierta,"['009-86-1309', '950-82-2839', '578-63-0664']",['MNT-14666'],59652
1181,Rotura,06/05/2024,Cerrada,"['507-21-4420', '935-59-3685']",['MNT-09058'],5237091
1182,Rotura,14/01/2024,Abierta,['325-78-6077'],['MNT-07881'],19324
1183,Desgaste,24/01/2024,Cerrada,"['367-54-2287', '018-98-8792', '159-40-5926']",['MNT-02751'],32635
1184,Mal funcionamiento,11/11/2023,Abierta,['840-00-9227'],['MNT-14038'],9052566
1185,Rotura,22/03/2024,Abierta,"['938-33-4912', '224-84-5023']",['MNT-06013'],5107840
1186,Mal funcionamiento,08/01/2024,Abierta,"['458-50-3436', '343-24-1903', '738-03-3625']",['MNT-10189'],6778168
1187,Vandalismo,09/03/2024,Cerrada,"['671-84-8399', '487-13-3421', '984-90-6560']","['MNT-05594', 'MNT-07525']",8927841
1188,Rotura,03/09/2024,Abierta,"['663-26-7532', '059-90-2299']",['MNT-08986'],9426803
1189,Desgaste,05/09/2024,Cerrada,['499-18-1595'],['MNT-01440'],35089
1190,Mal funcionamiento,25/07/2024,Cerrada,['343-37-8126'],"['MNT-11271', 'MNT-12277']",21563
1191,Rotura,21/12/2023,Cerrada,"['615-84-5908', '092-31-8274', '603-05-7306']",['MNT-12745'],5174013
1192,Vandalismo,22/08/2024,Abierta,"['476-77-3216', '772-45-1594']","['MNT-12515', 'MNT-13467', 'MNT-13992']",22040
1193,Vandalismo,23/03/2024,Cerrada,"['471-04-4407', '710-78-0809']",['MNT-05342'],5134780
1194,Desgaste,05/02/2024,Abierta,"['170-60-9867', '180-41-1753', '536-46-4252']",['MNT-08286'],3580587
1195,Vandalismo,04/08/2024,Abierta,"['570-04-0865', '494-30-4726']",['MNT-02055'],3575561
1196,Desgaste,24/08/2024,Abierta,"['139-21-5938', '649-60-0258', '113-08-8771']",['MNT-05963'],21916
1197,Desgaste,08/04/2024,Cerrada,"['595-98-6264', '796-24-1570']",['MNT-09581'],21633
1198,Desgaste,17/07/2024,Abierta,"['116-33-1888', '658-70-2211', '444-70-9484']",['MNT-04769'],20771
1199,Desgaste,10/04/2024,Cerrada,"['665-98-4449', '795-01-7010']",['MNT-14110'],9193604
1200,Vandalismo,26/05/2024,Cerrada,"['485-99-4841', '325-04-6080']","['MNT-04343', 'MNT-08829']",59418
1201,Desgaste,14/06/2024,Cerrada,"['298-27-0066', '344-15-2060', '072-15-4894']","['MNT-08916', 'MNT-11687']",21237
1202,Rotura,02/09/2024,Abierta,"['574-14-0054', '003-75-9074']",['MNT-05764'],25608
1203,Desgaste,04/02/2024,Abierta,"['499-12-3033', '276-73-9079']",['MNT-07984'],9396660
1204,Mal funcionamiento,17/11/2023,Abierta,"['099-35-1380', '958-58-6832', '062-35-7268']",['MNT-13399'],33886
1205,Mal funcionamiento,14/12/2023,Abierta,"['427-54-7046', '995-94-2976']",['MNT-11110'],20765
1206,Vandalismo,15/06/2024,Cerrada,"['774-76-1002', '016-06-5913', '039-96-7492']","['MNT-07819', 'MNT-08330']",9494234
1207,Mal funcionamiento,19/09/2024,Cerrada,"['861-09-3250', '421-16-1573', '260-95-7991']",['MNT-02250'],20829
1208,Mal funcionamiento,08/03/2024,Abierta,"['648-92-4741', '315-28-7015']",['MNT-06778'],9292076
1209,Mal funcionamiento,28/09/2024,Cerrada,['488-60-7670'],['MNT-07202'],33074
1210,Rotura,08/04/2024,Cerrada,['574-34-7772'],"['MNT-12268', 'MNT-13666']",7924757
1211,Vandalismo,27/08/2024,Abierta,"['175-29-7506', '072-70-5138']",['MNT-09690'],9276808
1212,Mal funcionamiento,02/12/2024,Abierta,"['768-45-2762', '287-51-2064']","['MNT-03262', 'MNT-04218']",8892593
1213,Rotura,16/10/2023,Abierta,['347-51-9665'],['MNT-00089'],4992011
1214,Vandalismo,22/10/2023,Abierta,"['580-53-0409', '870-68-2350']","['MNT-11389', 'MNT-12165']",9291559
1215,Rotura,10/11/2023,Cerrada,"['903-48-1022', '287-42-1811']",['MNT-07160'],9223762
1216,Rotura,10/12/2023,Abierta,"['416-92-4256', '339-52-8693', '877-15-7376']",['MNT-08837'],33202
1217,Rotura,19/11/2023,Cerrada,"['482-25-9123', '222-71-1991']",['MNT-04312'],58740
1218,Mal funcionamiento,03/02/2024,Abierta,"['036-99-0339', '054-47-6168']",['MNT-14265'],59756
1219,Rotura,12/02/2024,Abierta,"['465-28-5066', '021-72-0249', '723-65-7255']",['MNT-12559'],3566737
1220,Vandalismo,04/12/2023,Cerrada,['840-18-5286'],['MNT-11167'],21222
1221,Vandalismo,07/05/2024,Cerrada,['191-97-3369'],['MNT-14328'],59066
1222,Vandalismo,27/09/2024,Abierta,"['134-29-4351', '602-87-0430']",['MNT-07096'],9391939
1223,Mal funcionamiento,04/07/2024,Cerrada,"['415-52-4599', '976-37-2618', '483-42-2005']",['MNT-07991'],8905833
1224,Rotura,02/03/2024,Abierta,"['754-78-0650', '413-03-8444', '300-00-0761']",['MNT-00987'],34826
1225,Vandalismo,30/12/2023,Abierta,"['389-38-0858', '681-18-3487', '014-88-5736']",['MNT-11095'],33597
1226,Desgaste,03/12/2024,Cerrada,"['619-88-4234', '745-40-3149', '543-06-3252']",['MNT-00398'],34038
1227,Desgaste,12/06/2024,Abierta,['913-71-6806'],['MNT-00889'],9264113
1228,Desgaste,14/06/2024,Abierta,['225-19-2117'],['MNT-00306'],5220932
1229,Rotura,29/03/2024,Abierta,"['037-45-7696', '160-29-1596', '529-76-6548']",['MNT-11818'],5250226
1230,Desgaste,04/08/2024,Cerrada,"['508-96-6447', '623-11-7762']","['MNT-01057', 'MNT-04314']",59544
1231,Vandalismo,31/05/2024,Abierta,"['457-33-3719', '014-11-1873']","['MNT-06175', 'MNT-08842', 'MNT-14750']",4986151
1232,Mal funcionamiento,27/06/2024,Abierta,"['663-70-2119', '934-99-9862', '661-68-9607']",['MNT-09490'],33976
1233,Vandalismo,11/11/2023,Abierta,['021-96-1907'],['MNT-04113'],34207
1234,Desgaste,26/10/2023,Abierta,['208-81-9841'],['MNT-04772'],33412
1235,Desgaste,14/12/2023,Cerrada,"['942-74-4949', '854-44-6813', '083-65-5168']",['MNT-03224'],3530893
1236,Desgaste,25/12/2023,Abierta,"['783-67-8200', '174-43-1815', '691-01-6771']",['MNT-06575'],5209095
1237,Vandalismo,13/06/2024,Abierta,['350-45-4120'],['MNT-13817'],9181022
1238,Desgaste,14/07/2024,Abierta,"['745-40-3149', '653-63-7743']",['MNT-09880'],19954
1239,Vandalismo,11/09/2023,Cerrada,"['090-71-1760', '349-68-6684']","['MNT-11949', 'MNT-13192']",5003247
1240,Mal funcionamiento,26/09/2024,Abierta,"['930-64-7730', '523-45-2596', '362-42-8620']",['MNT-13213'],9158779
1241,Vandalismo,06/12/2023,Cerrada,"['598-29-4990', '392-24-6149']",['MNT-04325'],9177994
1242,Mal funcionamiento,21/10/2023,Cerrada,['765-44-1313'],['MNT-04577'],20000
1243,Mal funcionamiento,18/02/2024,Cerrada,"['229-73-1110', '606-94-7939', '611-02-3305']",['MNT-10005'],18692
1244,Desgaste,25/07/2024,Cerrada,['696-02-7026'],['MNT-08384'],9295586
1245,Mal funcionamiento,07/09/2024,Abierta,"['333-56-5933', '413-57-6968', '722-17-2944']","['MNT-01947', 'MNT-10227']",6761381
1246,Mal funcionamiento,06/08/2024,Cerrada,['370-35-8715'],"['MNT-06418', 'MNT-10182']",9433338
1247,Desgaste,24/05/2024,Cerrada,"['069-98-2091', '584-85-6575', '681-76-8441']",['MNT-08431'],20220
1248,Mal funcionamiento,13/08/2024,Cerrada,['756-66-4031'],"['MNT-02194', 'MNT-05057']",4730821
1249,Rotura,02/04/2024,Cerrada,['715-42-0448'],"['MNT-10776', 'MNT-12743']",5658494
1250,Vandalismo,16/08/2024,Cerrada,"['703-77-8514', '143-66-6456', '955-44-9003']",['MNT-02493'],24783
1251,Rotura,06/06/2024,Cerrada,"['933-67-6190', '746-99-2061']",['MNT-10503'],7930213
1252,Desgaste,29/02/2024,Cerrada,"['225-70-5302', '643-55-1622', '289-44-8758']",['MNT-06110'],3845312
1253,Rotura,07/02/2024,Abierta,"['749-06-4916', '056-68-5391']",['MNT-00328'],22564
1254,Rotura,28/08/2024,Abierta,"['360-07-3018', '945-16-2807', '622-69-8849']","['MNT-02110', 'MNT-08881', 'MNT-13037']",21712
1255,Mal funcionamiento,25/05/2024,Cerrada,['294-68-4307'],['MNT-10463'],6778155
1256,Mal funcionamiento,05/03/2024,Abierta,"['281-15-0055', '227-45-6912']",['MNT-03786'],3566731
1257,Mal funcionamiento,12/04/2024,Abierta,"['425-57-4645', '936-38-3752']","['MNT-00949', 'MNT-12671']",5238975
1258,Mal funcionamiento,01/07/2024,Cerrada,"['632-66-2440', '254-66-5684', '562-38-7616']",['MNT-02393'],4731638
1259,Mal funcionamiento,04/08/2024,Cerrada,['398-18-5781'],['MNT-10332'],58104
1260,Vandalismo,02/05/2024,Abierta,['657-02-4959'],['MNT-01839'],5219518
1261,Rotura,04/09/2024,Cerrada,"['089-77-8486', '372-54-6673']","['MNT-03949', 'MNT-14710']",33576
1262,Vandalismo,31/05/2024,Abierta,['035-88-2675'],['MNT-02454'],3581566
1263,Mal funcionamiento,03/06/2024,Cerrada,['430-12-9899'],['MNT-06290'],33630
1264,Vandalismo,11/09/2024,Cerrada,['012-50-7476'],['MNT-09539'],35240
1265,Vandalismo,11/08/2024,Cerrada,"['335-07-1390', '718-23-1322', '891-23-4784']",['MNT-02781'],7603091
1266,Vandalismo,11/06/2024,Abierta,['488-16-1609'],['MNT-06994'],59543
1267,Desgaste,16/08/2024,Cerrada,"['571-12-0371', '213-43-2178']",['MNT-13447'],22020
1268,Mal funcionamiento,16/08/2024,Cerrada,"['989-96-9927', '530-09-2743', '414-14-2238']","['MNT-00775', 'MNT-01230']",7588206
1269,Mal funcionamiento,25/06/2024,Cerrada,"['802-63-7779', '906-17-4125', '901-57-6146']","['MNT-09203', 'MNT-10743']",5659375
1270,Desgaste,11/07/2024,Cerrada,['008-26-3728'],['MNT-09646'],5249944
1271,Desgaste,24/10/2023,Abierta,"['080-11-2652', '701-61-6562']",['MNT-02823'],7404226
1272,Mal funcionamiento,21/10/2023,Abierta,"['422-29-3849', '902-67-4924']",['MNT-10146'],9139379
1273,Vandalismo,06/03/2024,Abierta,"['455-81-6147', '826-89-7550', '187-75-3240']",['MNT-03126'],59139
1274,Rotura,20/06/2024,Abierta,['635-29-6405'],['MNT-06442'],58187
1275,Mal funcionamiento,08/12/2023,Cerrada,['935-30-2836'],['MNT-12919'],20603
1276,Rotura,27/05/2024,Abierta,"['397-68-3310', '113-33-7283', '786-47-4969']","['MNT-07616', 'MNT-09854']",58295
